Formula,Temperature,Heat_Capacity
B1N1,2900,48.953
B1N1,2800,48.953
B1N1,2700,48.953
B1N1,2600,48.953
B1N1,2500,48.953
B1N1,2400,48.953
B1N1,2300,48.953
B1N1,2200,48.953
B1N1,2100,48.953
B1N1,2000,48.953
B1N1,1900,48.953
B1N1,1800,48.953
B1N1,1700,48.939
B1N1,1600,48.911
B1N1,1500,48.702
B1N1,1400,48.283
B1N1,1300,47.698
B1N1,1200,46.861
B1N1,1100,45.815
B1N1,1000,44.35
B1N1,900,42.593
B1N1,800,40.459
B1N1,700,38.074
B1N1,600,35.229
B1N1,500,31.38
B1N1,400,26.276
B1N1,300,19.849
Co1O4S1,1900,173.259
Co1O4S1,1800,171.921
Co1O4S1,1700,170.498
Co1O4S1,1600,169.075
Co1O4S1,1500,167.569
Co1O4S1,1400,165.979
Co1O4S1,1300,164.306
Co1O4S1,1200,162.465
Co1O4S1,1100,160.415
Co1O4S1,1000,158.113
Co1O4S1,964,156.792
Co1O4S1,964,157.221
Co1O4S1,900,155.394
Co1O4S1,800,152.047
Co1O4S1,700,147.277
Co1O4S1,600,140.666
Co1O4S1,500,131.545
Co1O4S1,400,119.286
Co1O4S1,300,103.638
Co1O4S1,298,103.219
Cu1O1,1900,62.494
Cu1O1,1800,61.726
Cu1O1,1700,60.958
Cu1O1,1600,60.181
Cu1O1,1500,59.395
Cu1O1,1400,58.601
Cu1O1,1300,57.8
Cu1O1,1200,56.978
Cu1O1,1100,56.135
Cu1O1,1000,55.262
Cu1O1,900,54.34
Cu1O1,800,53.349
Cu1O1,700,52.24
Cu1O1,600,50.935
Cu1O1,500,49.261
Cu1O1,400,46.806
Cu1O1,300,42.364
Cu1O1,298,42.246
Br1Na1,298,51.4
Br1Na1,1900,72.645
Br1Na1,1800,71.267
Br1Na1,1700,69.925
Br1Na1,1600,68.618
Br1Na1,1500,67.345
Br1Na1,1400,66.107
Br1Na1,1300,64.852
Br1Na1,1200,63.597
Br1Na1,1100,62.342
Br1Na1,1020,61.337
Br1Na1,1000,61.086
Br1Na1,900,59.831
Br1Na1,800,58.576
Br1Na1,700,57.321
Br1Na1,600,56.066
Br1Na1,500,54.852
Br1Na1,400,53.451
Br1Na1,300,51.442
Cr2O3,2900,146.242
Cr2O3,2800,145.333
Cr2O3,2700,144.428
Cr2O3,2603,143.553
Cr2O3,2600,143.526
Cr2O3,2500,142.628
Cr2O3,2400,141.733
Cr2O3,2300,140.839
Cr2O3,2200,139.947
Cr2O3,2100,139.056
Cr2O3,2000,138.168
Cr2O3,1900,136.88
Cr2O3,1800,135.457
Cr2O3,1700,134.478
Cr2O3,1600,133.486
Cr2O3,1500,132.482
Cr2O3,1400,131.457
Cr2O3,1300,130.411
Cr2O3,1200,129.332
Cr2O3,1100,128.202
Cr2O3,1000,127.009
Cr2O3,900,125.725
Cr2O3,800,124.29
Cr2O3,700,122.625
Cr2O3,600,120.549
Cr2O3,500,117.721
Cr2O3,400,112.675
Cr2O3,305,126.775
Cr2O3,305,126.775
Cr2O3,300,121.922
Cr2O3,298,120.366
Cs1F1,1900,69.036
Cs1F1,1800,68.994
Cs1F1,1700,68.91
Cs1F1,1600,68.743
Cs1F1,1500,68.492
Cs1F1,1400,68.157
Cs1F1,1300,67.697
Cs1F1,1200,66.944
Cs1F1,1100,65.856
Cs1F1,1000,64.35
Cs1F1,976,63.952
Cs1F1,900,62.634
Cs1F1,800,60.877
Cs1F1,700,59.12
Cs1F1,600,57.363
Cs1F1,500,55.564
Cs1F1,400,53.764
Cs1F1,300,52.007
Cs1F1,298,51.965
Cr2N1,2400,127.277
Cr2N1,2300,124.934
Cr2N1,2200,122.591
Cr2N1,2100,119.955
Cr2N1,2000,117.487
Cr2N1,1900,114.767
Cr2N1,1800,112.508
Cr2N1,1700,109.788
Cr2N1,1600,107.027
Cr2N1,1500,104.265
Cr2N1,1400,101.504
Cr2N1,1300,98.742
Cr2N1,1200,95.981
Cr2N1,1100,93.261
Cr2N1,1000,90.5
Cr2N1,900,87.738
Cr2N1,800,84.977
Cr2N1,700,82.257
Cr2N1,600,79.496
Cr2N1,500,76.735
Cr2N1,400,73.429
Cr2N1,300,66.191
Cr2N1,298,66.065
Cl1Li1,1900,82.863
Cl1Li1,1800,80.797
Cl1Li1,1700,78.731
Cl1Li1,1600,76.663
Cl1Li1,1500,74.598
Cl1Li1,1400,72.534
Cl1Li1,1300,70.452
Cl1Li1,1200,68.358
Cl1Li1,1100,66.266
Cl1Li1,1000,64.17
Cl1Li1,900,62.061
Cl1Li1,883,61.702
Cl1Li1,800,59.936
Cl1Li1,700,57.781
Cl1Li1,600,55.593
Cl1Li1,500,53.342
Cl1Li1,400,50.969
Cl1Li1,300,48.095
Cl1Li1,298,48.028
Fe0.877S1,1700,86.107
Fe0.877S1,1600,79.161
Fe0.877S1,1500,72.676
Fe0.877S1,1400,67.195
Fe0.877S1,1300,62.676
Fe0.877S1,1200,59.12
Fe0.877S1,1100,55.396
Fe0.877S1,1000,52.007
Fe0.877S1,900,52.886
Fe0.877S1,800,53.848
Fe0.877S1,700,55.564
Fe0.877S1,600,58.116
Fe0.877S1,598,68.563
Fe0.877S1,598,58.175
Fe0.877S1,500,62.383
Fe0.877S1,400,56.149
Fe0.877S1,300,50
Fe0.877S1,298,49.883
Cl1Na1,1400,77.53
Cl1Na1,1300,75.145
Cl1Na1,1200,71.965
Cl1Na1,1100,68.325
Cl1Na1,1073.8,67.371
Cl1Na1,1000,64.865
Cl1Na1,900,61.869
Cl1Na1,800,59.312
Cl1Na1,700,57.204
Cl1Na1,600,55.476
Cl1Na1,500,53.94
Cl1Na1,400,52.35
Cl1Na1,300,50.543
Cl1Na1,298,50.509
F2Hg1,1900,108.366
F2Hg1,1800,106.274
F2Hg1,1700,104.182
F2Hg1,1600,102.09
F2Hg1,1500,99.998
F2Hg1,1400,97.906
F2Hg1,1300,95.814
F2Hg1,1200,93.722
F2Hg1,1100,91.63
F2Hg1,1000,89.538
F2Hg1,918,87.822
F2Hg1,900,87.446
F2Hg1,800,85.354
F2Hg1,700,83.262
F2Hg1,600,81.17
F2Hg1,500,79.078
F2Hg1,400,76.986
F2Hg1,300,74.894
F2Hg1,298,74.856
Fe1H2O2,1400,125.436
,1300,125.353
Fe1H2O2,1200,125.102
Fe1H2O2,1100,124.516
Fe1H2O2,1000,123.386
Fe1H2O2,900,121.545
Fe1H2O2,800,118.951
Fe1H2O2,700,115.478
Fe1H2O2,600,111.294
Fe1H2O2,500,106.776
Fe1H2O2,400,102.09
Fe1H2O2,300,97.152
Fe1H2O2,298,97.069
Cs1H1O1,900,83.68
Cs1H1O1,800,83.68
Cs1H1O1,700,83.68
Cs1H1O1,600,83.68
Cs1H1O1,588,83.68
Cs1H1O1,500,83.68
Cs1H1O1,493,82.174
Cs1H1O1,493,83.68
Cs1H1O1,410,74.99
Cs1H1O1,410,75.228
Cs1H1O1,400,74.392
Cs1H1O1,300,67.99
Cs1H1O1,298,67.872
Br3Mo1,298,105.37
Br3Mo1,1400,121.503
Br3Mo1,1300,120.039
Br3Mo1,1200,118.575
Br3Mo1,1100,117.11
Br3Mo1,1000,115.646
Br3Mo1,900,114.181
Br3Mo1,800,112.717
Br3Mo1,700,111.253
Br3Mo1,600,109.788
Br3Mo1,500,108.324
Br3Mo1,400,106.859
Br3Mo1,300,105.395
Br2Sr1,298,76.853
Br2Sr1,1400,115.06
Br2Sr1,1300,115.06
Br2Sr1,1200,115.06
Br2Sr1,1100,115.06
Br2Sr1,1000,115.06
Br2Sr1,930,115.06
Br2Sr1,918,91.717
Br2Sr1,918,115.06
Br2Sr1,900,91.002
Br2Sr1,800,87.571
Br2Sr1,700,84.893
Br2Sr1,600,82.676
Br2Sr1,500,80.835
,400,79.036
Br2Sr1,300,76.902
Cl2Hg2,1400,126.311
Cl2Hg2,1300,125.169
Cl2Hg2,1200,123.846
Cl2Hg2,1100,122.34
Cl2Hg2,1000,120.667
Cl2Hg2,900,118.826
Cl2Hg2,800,116.817
Cl2Hg2,700,114.558
Cl2Hg2,600,112.131
Cl2Hg2,500,109.328
Cl2Hg2,400,106.023
Cl2Hg2,300,102.048
Cl2Hg2,298,101.968
Fe1O1,1900,65.79
Fe1O1,1800,65.229
Fe1O1,1700,64.631
Fe1O1,1650,64.319
Fe1O1,1600,64.015
Fe1O1,1500,63.396
Fe1O1,1400,62.76
Fe1O1,1300,61.975
Fe1O1,1200,61.086
Fe1O1,1100,60.234
Fe1O1,1000,59.371
Fe1O1,900,58.283
Fe1O1,800,57.321
Fe1O1,700,56.149
Fe1O1,600,54.894
Fe1O1,500,53.388
Fe1O1,400,51.84
Fe1O1,300,49.999
Fe1O1,298,49.915
Co1,2400,37.656
Co1,2300,37.656
Co1,2200,37.656
Co1,2100,37.656
Co1,2000,37.656
Co1,1900,37.656
Co1,1800,37.656
Co1,1768,37.99
Co1,1700,37.782
Co1,1600,38.284
Co1,1500,39.748
Co1,1400,44.225
Co1,1394,54.978
Co1,1394,54.999
Co1,1300,48.66
Co1,1200,43.221
Co1,1100,39.832
Co1,1000,36.987
Co1,900,34.518
Co1,800,32.426
Co1,700.1,31.047
Co1,700.1,30.583
Co1,700,31.045
Co1,600,29.665
Co1,500,28.2
Co1,450,27.39
Co1,400,26.527
Co1,350,25.682
Co1,300,24.833
Co1,298,24.802
Cl1Cs1,298,52.442
Cl1Cs1,1900,69.245
Cl1Cs1,1800,68.743
Cl1Cs1,1700,68.241
Cl1Cs1,1600,67.697
Cl1Cs1,1500,67.195
Cl1Cs1,1400,66.693
Cl1Cs1,1300,66.191
Cl1Cs1,1200,65.689
Cl1Cs1,1100,65.187
Cl1Cs1,1000,64.685
Cl1Cs1,918,64.266
Cl1Cs1,900,64.174
Cl1Cs1,800,63.68
Cl1Cs1,743,62.237
Cl1Cs1,743,63.388
Cl1Cs1,700,61.296
Cl1Cs1,600,59.099
Cl1Cs1,500,56.902
Cl1Cs1,400,54.685
Cl1Cs1,300,52.472
Cu1H2O2,1400,122.047
Cu1H2O2,1300,121.88
Cu1H2O2,1200,121.503
Cu1H2O2,1100,120.75
Cu1H2O2,1000,119.662
Cu1H2O2,900,117.989
Cu1H2O2,800,115.562
Cu1H2O2,700,112.131
Cu1H2O2,600,108.031
Cu1H2O2,500,103.763
Cu1H2O2,400,99.496
Cu1H2O2,300,95.228
Cu1H2O2,298,95.186
Al1Li1O2,298,67.777
Al1Li1O2,2100,117.294
Al1Li1O2,2000,116.022
Al1Li1O2,1973,115.679
Al1Li1O2,1900,114.746
Al1Li1O2,1800,113.449
Al1Li1O2,1700,112.14
Al1Li1O2,1600,110.813
Al1Li1O2,1500,109.466
Al1Li1O2,1400,108.089
Al1Li1O2,1300,106.671
Al1Li1O2,1200,105.198
Al1Li1O2,1100,103.654
Al1Li1O2,1000,102.006
Al1Li1O2,900,100.203
Al1Li1O2,800,98.165
Al1Li1O2,700,95.751
Al1Li1O2,600,92.688
Al1Li1O2,500,88.408
Al1Li1O2,400,81.546
Al1Li1O2,300,68.128
Co1F2,1900,87.441
Co1F2,1800,87.14
Co1F2,1700,86.831
Co1F2,1600,86.517
Co1F2,1500,86.186
Co1F2,1400,85.839
Co1F2,1400,85.839
Co1F2,1300,85.475
Co1F2,1200,85.077
Co1F2,1100,84.646
Co1F2,1000,84.161
Co1F2,900,83.592
Co1F2,800,82.902
Co1F2,700,82.015
Co1F2,600,80.789
Co1F2,500,78.927
Co1F2,400,75.714
Co1F2,300,69.041
Co1F2,298,68.909
Br2Fe1,298,80.232
Br2Fe1,1400,104.759
Br2Fe1,1300,102.533
Br2Fe1,1200,100.307
Br2Fe1,1100,98.081
Br2Fe1,1000,95.855
Br2Fe1,964,95.054
Br2Fe1,900,93.63
Br2Fe1,800,91.404
Br2Fe1,700,89.178
Br2Fe1,650,88.061
Br2Fe1,650,88.069
Br2Fe1,600,86.952
Br2Fe1,500,84.726
Br2Fe1,400,82.5
Br2Fe1,300,80.274
Fe1I2,1400,142.256
Fe1I2,1300,142.256
Fe1I2,1200,142.256
Fe1I2,1100,141.188
Fe1I2,1000,136.817
Fe1I2,900,126.224
Fe1I2,860,120.005
Fe1I2,800,110.876
Fe1I2,700,95.395
Fe1I2,650,84.546
Fe1I2,650,87.864
Fe1I2,600,84.425
Fe1I2,500,84.182
Fe1I2,400,83.931
Fe1I2,300,83.68
Fe1I2,298,83.68
Ga1,450,27.916
Ga1,400,27.46
Ga1,350,27.004
Ga1,302.92,26.133
Ga1,300,26.091
Ga1,298,26.064
Cl1Li1O4,298,105.018
Cl1Li1O4,1400,192.771
Cl1Li1O4,1300,188.866
Cl1Li1O4,1200,184.933
Cl1Li1O4,1100,180.972
Cl1Li1O4,1000,176.983
Cl1Li1O4,900,172.067
Cl1Li1O4,800,166.523
Cl1Li1O4,700,160.038
Cl1Li1O4,600,152.716
Cl1Li1O4,509,144.34
Cl1Li1O4,500,143.511
Cl1Li1O4,400,129.704
Cl1Li1O4,300,105.437
Cl2Cu1,1400,84.75
Cl2Cu1,1300,84.19
Cl2Cu1,1200,83.607
Cl2Cu1,1100,83.001
Cl2Cu1,1000,82.37
Cl2Cu1,900,81.655
Cl2Cu1,800,80.885
Cl2Cu1,700,79.956
Cl2Cu1,600,78.785
Cl2Cu1,500,77.278
Cl2Cu1,400,75.061
Cl2Cu1,300,71.923
Cl2Cu1,298,71.881
Fe0.947O1,2400,64.74
Fe0.947O1,2300,64.601
Fe0.947O1,2200,64.434
Fe0.947O1,2100,64.238
Fe0.947O1,2000,64.015
Fe0.947O1,1900,63.696
Fe0.947O1,1800,63.304
Fe0.947O1,1700,62.787
Fe0.947O1,1600,62.065
Fe0.947O1,1500,61.212
Fe0.947O1,1400,60.358
Fe0.947O1,1300,59.496
Fe0.947O1,1200,58.63
Fe0.947O1,1100,57.76
Fe0.947O1,1000,56.873
Fe0.947O1,900,55.969
Fe0.947O1,800,55.041
Fe0.947O1,700,54.07
Fe0.947O1,600,53.028
Fe0.947O1,500,51.848
Fe0.947O1,400,50.38
Fe0.947O1,300,48.183
Fe0.947O1,298,48.116
Be1Cl2,298,64.852
Be1Cl2,1400,85.234
Be1Cl2,1300,85.007
Be1Cl2,1200,84.672
Be1Cl2,1100,84.23
Be1Cl2,1000,83.68
Be1Cl2,900,83.023
Be1Cl2,800,82.257
Be1Cl2,700,81.358
Be1Cl2,688,81.278
Be1Cl2,600,80.082
Be1Cl2,500,77.53
Be1Cl2,400,72.76
Be1Cl2,300,65.019
Cl1K1,298,51.287
Cl1K1,1400,82.006
Cl1K1,1300,79.496
Cl1K1,1200,76.149
Cl1K1,1100,71.965
Cl1K1,1044,69.287
Cl1K1,1000,66.969
Cl1K1,900,62.911
Cl1K1,800,60.078
Cl1K1,700,58.003
Cl1K1,600,56.317
Cl1K1,500,54.752
Cl1K1,400,53.137
Cl1K1,300,51.329
F1Na1,2900,71.128
F1Na1,2800,71.128
F1Na1,2700,71.128
F1Na1,2600,71.128
F1Na1,2500,71.128
F1Na1,2400,71.128
F1Na1,2300,71.128
F1Na1,2200,71.128
F1Na1,2100,71.128
F1Na1,2000,71.128
F1Na1,1900,71.128
F1Na1,1800,71.128
F1Na1,1700,71.128
F1Na1,1600,71.128
F1Na1,1500,70.626
F1Na1,1400,69.162
F1Na1,1300,66.944
F1Na1,1269,66.149
F1Na1,1200,64.266
F1Na1,1100,61.756
F1Na1,1000,59.505
F1Na1,900,57.492
F1Na1,800,55.71
F1Na1,700,54.124
F1Na1,600,52.677
F1Na1,500,51.262
F1Na1,400,49.597
F1Na1,300,46.924
F1Na1,298,46.852
H3O4P1,900,288.361
H3O4P1,800,258.069
H3O4P1,700,227.777
H3O4P1,600,197.485
H3O4P1,500,167.193
H3O4P1,400,136.9
H3O4P1,315.5,111.303
H3O4P1,300,106.608
H3O4P1,298,106.064
Fe3O4,2900,200.832
Fe3O4,2800,200.832
Fe3O4,2700,200.832
Fe3O4,2600,200.832
Fe3O4,2500,200.832
Fe3O4,2400,200.832
Fe3O4,2300,200.832
Fe3O4,2200,200.832
Fe3O4,2100,200.832
Fe3O4,2000,200.832
Fe3O4,1900,200.832
Fe3O4,1800,200.832
Fe3O4,1700,200.832
Fe3O4,1600,200.832
Fe3O4,1500,200.832
Fe3O4,1400,200.832
Fe3O4,1300,200.832
Fe3O4,1200,200.832
Fe3O4,1100,200.832
Fe3O4,1000,200.832
Fe3O4,900,273.05
Fe3O4,900,273.05
Fe3O4,900,200.832
Fe3O4,800,252.881
Fe3O4,700,232.714
Fe3O4,600,212.547
Fe3O4,500,192.38
Fe3O4,400,171.126
Fe3O4,300,147.695
Fe3O4,298,147.235
H1Na1O1,1400,86.023
H1Na1O1,1300,86.023
H1Na1O1,1200,86.023
H1Na1O1,1100,86.023
H1Na1O1,1000,86.023
H1Na1O1,900,86.023
H1Na1O1,800,86.023
H1Na1O1,700,86.023
H1Na1O1,600,86.023
H1Na1O1,596,86.023
H1Na1O1,572,85.887
H1Na1O1,572,86.023
H1Na1O1,500,75.157
H1Na1O1,400,64.936
H1Na1O1,300,59.664
H1Na1O1,298,59.53
Fe2O12S3,1900,449.069
Fe2O12S3,1800,445.554
Fe2O12S3,1700,441.83
Fe2O12S3,1600,438.065
Fe2O12S3,1500,434.09
Fe2O12S3,1400,429.906
Fe2O12S3,1300,425.513
Fe2O12S3,1200,420.659
Fe2O12S3,1100,415.262
Fe2O12S3,1000,409.237
Fe2O12S3,900,402.041
Fe2O12S3,800,393.254
Fe2O12S3,700,380.702
Fe2O12S3,600,363.297
Fe2O12S3,500,339.281
Fe2O12S3,400,307.022
Fe2O12S3,300,265.851
Fe2O12S3,298,264.722
H1Na1,1400,63.021
H1Na1,1300,62.425
H1Na1,1200,61.641
H1Na1,1100,60.668
H1Na1,1000,59.413
H1Na1,900,57.948
H1Na1,800,56.066
H1Na1,700,53.723
H1Na1,600,50.71
H1Na1,500,47.154
H1Na1,400,42.468
H1Na1,300,36.535
H1Na1,298,36.392
Cl1Na1O4,298,111.294
Cl1Na1O4,1400,205.267
Cl1Na1O4,1300,201.083
Cl1Na1O4,1200,196.648
Cl1Na1O4,1100,191.962
Cl1Na1O4,1000,187.025
Cl1Na1O4,900,181.586
Cl1Na1O4,800,175.728
Cl1Na1O4,700,168.511
Cl1Na1O4,600,160.247
Cl1Na1O4,581,158.574
Cl1Na1O4,581,158.574
Cl1Na1O4,500,150.206
Cl1Na1O4,400,135.98
Cl1Na1O4,300,111.713
B1F4K1,298,114.483
B1F4K1,1400,177.456
B1F4K1,1300,173.038
B1F4K1,1200,168.619
B1F4K1,1100,164.197
B1F4K1,1000,159.779
B1F4K1,900,155.356
B1F4K1,843,152.838
B1F4K1,800,150.938
B1F4K1,700,146.519
B1F4K1,600,142.097
B1F4K1,556,156.027
B1F4K1,556,140.146
B1F4K1,500,146.963
B1F4K1,400,130.817
B1F4K1,300,114.78
Cu1O4S1,1900,168.908
Cu1O4S1,1800,167.569
Cu1O4S1,1700,166.147
Cu1O4S1,1600,164.724
Cu1O4S1,1500,163.218
Cu1O4S1,1400,161.628
Cu1O4S1,1300,159.954
Cu1O4S1,1200,158.113
Cu1O4S1,1100,156.063
Cu1O4S1,1000,153.762
Cu1O4S1,900,151.042
Cu1O4S1,800,147.695
Cu1O4S1,700,142.925
Cu1O4S1,600,136.315
Cu1O4S1,500,127.194
Cu1O4S1,400,114.934
Cu1O4S1,300,99.286
Cu1O4S1,298,98.868
H1Li1,1400,89.299
H1Li1,1300,83.994
H1Li1,1200,78.68
H1Li1,1100,73.362
H1Li1,1000,68.028
H1Li1,961.8,65.985
H1Li1,900,62.676
H1Li1,800,57.3
H1Li1,700,51.877
H1Li1,600,46.38
H1Li1,500,40.735
H1Li1,400,34.794
H1Li1,300,28.083
H1Li1,298,27.957
F2H1K1,1900,100.249
F2H1K1,1800,100.249
F2H1K1,1700,100.249
F2H1K1,1600,100.249
F2H1K1,1500,100.249
F2H1K1,1400,100.249
F2H1K1,1300,100.249
F2H1K1,1200,100.249
F2H1K1,1100,100.249
F2H1K1,1000,100.249
F2H1K1,900,100.249
F2H1K1,800,100.249
F2H1K1,700,100.249
F2H1K1,600,100.249
F2H1K1,511.95,100.249
F2H1K1,500,100.249
F2H1K1,469.85,92.45
F2H1K1,469.85,100.249
F2H1K1,400,86.065
F2H1K1,300,77.111
F2H1K1,298,76.94
B1H4Li1,298,82.539
B1H4Li1,1900,121.502
B1H4Li1,1800,121.007
B1H4Li1,1700,120.477
B1H4Li1,1600,119.913
B1H4Li1,1500,119.316
B1H4Li1,1400,118.684
B1H4Li1,1300,118.019
B1H4Li1,1200,117.319
B1H4Li1,1100,116.392
B1H4Li1,1000,115.353
B1H4Li1,900,114.349
B1H4Li1,800,113.052
B1H4Li1,700,109.914
B1H4Li1,600,105.144
B1H4Li1,500,98.282
B1H4Li1,400,91.002
B1H4Li1,300,82.989
Hg1O1,900,58.626
Hg1O1,800,57.509
Hg1O1,700,56.066
Hg1O1,600,54.12
Hg1O1,500,51.631
Hg1O1,400,48.325
Hg1O1,300,44.145
Hg1O1,298,44.062
Be3N2,298,64.358
Be3N2,2900,129.692
Be3N2,2800,129.677
Be3N2,2700,129.659
Be3N2,2600,129.639
Be3N2,2500,129.615
Be3N2,2473,129.606
Be3N2,2400,129.588
Be3N2,2300,129.559
Be3N2,2200,129.526
Be3N2,2100,129.49
Be3N2,2000,129.452
Be3N2,1900,129.411
Be3N2,1800,129.366
Be3N2,1700,129.319
Be3N2,1600,129.269
Be3N2,1500,129.047
Be3N2,1400,128.616
Be3N2,1300,127.926
Be3N2,1200,126.922
Be3N2,1100,125.52
Be3N2,1000,123.612
Be3N2,900,121.043
Be3N2,800,117.591
Be3N2,700,112.922
Be3N2,600,106.516
Be3N2,500,97.512
Be3N2,400,84.433
Be3N2,300,64.668
Fe1,2100,45.48
Fe1,2000,44.476
Fe1,1900,43.472
Fe1,1809,42.558
Fe1,1800,42.468
Fe1,1700,41.463
Fe1,1665,41.112
Fe1,1600,40.459
Fe1,1500,39.455
Fe1,1400,38.535
Fe1,1300,38.493
Fe1,1200,40.794
Fe1,1184,41.422
Fe1,1100,46.401
Fe1,1042,83.68
Fe1,1042,83.681
Fe1,1000,54.434
Fe1,900,43.095
Fe1,800,37.949
Fe1,700,34.602
Fe1,600,32.049
Fe1,500,29.702
Fe1,450,28.518
Fe1,400,27.386
Fe1,350,26.287
Fe1,300,25.14
Fe1,298,25.094
I2Mo1,1400,96.445
I2Mo1,1300,95.199
I2Mo1,1200,93.952
I2Mo1,1100,92.705
I2Mo1,1000,91.458
I2Mo1,900,90.211
I2Mo1,800,88.964
I2Mo1,700,87.718
I2Mo1,600,86.471
I2Mo1,500,85.224
I2Mo1,400,83.977
I2Mo1,300,82.73
I2Mo1,298,82.705
Cu1F1,1900,64.434
Cu1F1,1800,64.434
Cu1F1,1700,64.434
Cu1F1,1600,64.434
Cu1F1,1500,64.434
Cu1F1,1400,64.378
Cu1F1,1300,64.266
Cu1F1,1200,64.057
Cu1F1,1100,63.764
Cu1F1,1000,63.346
Cu1F1,900,62.802
Cu1F1,800,62.007
Cu1F1,700,60.961
Cu1F1,600,59.58
Cu1F1,500,57.656
Cu1F1,400,55.145
Cu1F1,300,51.965
Cu1F1,298,51.882
Cr1N1,298,52.677
Cr1N1,2400,62.467
Cr1N1,2300,61.714
Cr1N1,2200,61.003
Cr1N1,2100,60.375
Cr1N1,2000,59.831
Cr1N1,1900,59.078
Cr1N1,1800,58.367
Cr1N1,1700,57.697
Cr1N1,1600,57.028
Cr1N1,1500,56.379
Cr1N1,1400,55.689
Cr1N1,1300,55.02
Cr1N1,1200,54.392
Cr1N1,1100,53.723
Cr1N1,1000,53.053
Cr1N1,900,52.384
Cr1N1,800,51.714
Cr1N1,700,51.087
Cr1N1,600,50.417
Cr1N1,500,49.748
Cr1N1,400,49.078
Cr1N1,300,51.393
Fe1H3O3,1400,174.682
Fe1H3O3,1300,173.218
Fe1H3O3,1200,171.126
Fe1H3O3,1100,168.406
Fe1H3O3,1000,164.85
Fe1H3O3,900,160.247
Fe1H3O3,800,154.808
Fe1H3O3,700,148.114
Fe1H3O3,600,140.582
Fe1H3O3,500,129.704
Fe1H3O3,400,117.989
Fe1H3O3,300,102.09
Fe1H3O3,298,101.671
I1Li1,2400,76.191
I1Li1,2300,76.191
I1Li1,2200,76.191
I1Li1,2100,76.191
I1Li1,2000,76.191
I1Li1,1900,76.191
I1Li1,1800,76.191
I1Li1,1700,76.191
I1Li1,1600,76.191
I1Li1,1500,76.191
I1Li1,1400,75.877
I1Li1,1300,75.375
I1Li1,1200,74.559
I1Li1,1100,73.534
I1Li1,1000,71.965
I1Li1,900,69.517
I1Li1,800,66.107
I1Li1,700,62.258
I1Li1,600,58.66
I1Li1,500,55.948
I1Li1,400,53.43
I1Li1,300,50.187
I1Li1,298,50.082
Al1I3,298,98.91
Al1I3,1400,129.501
Al1I3,1300,129.319
Al1I3,1200,129.16
Al1I3,1100,128.875
Al1I3,1000,128.449
Al1I3,900,127.901
Al1I3,800,126.918
Al1I3,700,125.063
Al1I3,600,121.986
Al1I3,500,116.901
Al1I3,464.15,114.614
Al1I3,400,108.533
Al1I3,300,99.077
Fe1S1,1800,99.67
Fe1S1,1700,91.174
Fe1S1,1600,83.653
Fe1S1,1500,77.106
Fe1S1,1463,74.93
Fe1S1,1400,71.533
Fe1S1,1300,66.935
Fe1S1,1200,63.311
Fe1S1,1100,60.662
Fe1S1,1000,58.986
Fe1S1,900,58.286
Fe1S1,800,58.56
Fe1S1,700,59.808
Fe1S1,600,62.03
Fe1S1,598,72.358
Fe1S1,598,62.085
Fe1S1,500,72.358
Fe1S1,411,95.051
Fe1S1,411,72.358
Fe1S1,400,89.203
Fe1S1,300,50.671
Fe1S1,298,50.517
Al2Cl9K3,298,337.23
Al2Cl9K3,1400,466.934
Al2Cl9K3,1300,452.123
Al2Cl9K3,1200,438.818
Al2Cl9K3,1100,427.019
Al2Cl9K3,1000,416.726
Al2Cl9K3,900,407.94
Al2Cl9K3,800,400.66
Al2Cl9K3,700,390.807
Al2Cl9K3,600,379.74
Al2Cl9K3,500,367.272
Al2Cl9K3,400,353.13
Al2Cl9K3,300,337.858
I2Pb1,900,102.428
I2Pb1,800,95.102
I2Pb1,700,88.743
I2Pb1,683,87.78
I2Pb1,600,83.713
I2Pb1,500,80.391
I2Pb1,400,78.856
I2Pb1,300,77.613
I2Pb1,298,77.573
I4Zr1,900,138.365
I4Zr1,800,137.152
I4Zr1,700,135.938
I4Zr1,600,134.599
I4Zr1,500,133.009
I4Zr1,400,131.001
I4Zr1,300,127.88
I4Zr1,298,127.8
Hg1I2,1400,84.119
Hg1I2,1300,84.119
Hg1I2,1200,84.119
Hg1I2,1100,84.119
Hg1I2,1000,84.119
Hg1I2,900,84.119
Hg1I2,800,84.119
Hg1I2,700,84.119
Hg1I2,600,84.119
Hg1I2,530,84.119
Hg1I2,500,84.119
Hg1I2,402,82.09
Hg1I2,402,84.119
Hg1I2,400,82.006
Hg1I2,300,77.822
Hg1I2,298,77.747
H4I1N1,1900,153.599
H4I1N1,1800,157.144
H4I1N1,1700,159.166
H4I1N1,1600,159.666
H4I1N1,1500,158.643
H4I1N1,1400,156.098
H4I1N1,1300,152.03
H4I1N1,1200,146.44
H4I1N1,1100,139.327
H4I1N1,1000,132.089
H4I1N1,900,124.976
H4I1N1,800,117.696
H4I1N1,700,110.458
H4I1N1,600,103.261
H4I1N1,500,96.148
H4I1N1,400,88.998
H4I1N1,300,81.881
H4I1N1,298,81.755
Hf1,2400,42.073
Hf1,2300,41.372
Hf1,2200,40.671
Hf1,2100,39.97
Hf1,2054,39.648
Hf1,2000,39.269
Hf1,1900,38.569
Hf1,1800,37.868
